age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,y (yes or no)  ,probability of yes (or score)
71, Private,132057, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,9386,0,50, United-States,,
61, Self-emp-not-inc,142988, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,,
30, Private,361280, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States,,
42, Private,55854, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,,
48, Federal-gov,265386, Assoc-acdm,12, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States,,
39, Private,103734, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,43, United-States,,
51, Private,194788, 10th,6, Divorced, Adm-clerical, Other-relative, White, Female,0,0,30, United-States,,
26, Private,263444, Assoc-voc,11, Never-married, Tech-support, Not-in-family, White, Male,14344,0,40, United-States,,
31, Private,136721, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States,,
36, Private,112271, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,1902,40, United-States,,
62, Private,116289, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,,
26, Private,140434, Some-college,10, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States,,
28, Private,115438, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States,,
34, Local-gov,169708, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States,,
43, Private,326701, 5th-6th,3, Separated, Craft-repair, Not-in-family, Other, Male,0,0,40, Mexico,,
32, State-gov,204052, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,,
42, Private,126094, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,,
19, Private,244175, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,25, United-States,,
18, Private,176653, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,26, United-States,,
40, Local-gov,208277, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,0,0,35, United-States,,
27, Private,220104, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,1876,50, United-States,,
45, Private,174127, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,,
52, Self-emp-inc,168539, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,,
40, Private,111779, 11th,7, Divorced, Other-service, Unmarried, Black, Female,0,0,36, United-States,,
24, Self-emp-not-inc,216889, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,,
60, Private,320422, Some-college,10, Divorced, Tech-support, Not-in-family, White, Female,6849,0,50, United-States,,
39, Private,357173, HS-grad,9, Separated, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States,,
31, Private,208881, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States,,
33, Private,473133, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, United-States,,
33, Self-emp-not-inc,245173, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,,
27, Private,168138, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,,
52, Self-emp-inc,146574, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,,
34, Local-gov,174215, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,7688,0,35, United-States,,
